hot_spot,id,name,type,address,city,zipcode,lat,lng
1,62615,GLADDEN FOOD PANTRY,FOOD BANKS,318 S GLENWOOD AVE,COLUMBUS,43223,39.95223,-83.02882
1,104163,BUCKEYE PAWN SHOP,PAWNBROKERS,411 S CENTRAL AVE,COLUMBUS,43223,39.94924399999999,-83.03676
1,104544,SHELL FOOD MART,SERVICE STATIONS-GASOLINE & OIL,1000 W BROAD ST,COLUMBUS,43222,39.95927999999999,-83.027369
1,111114,LEV'S PAWN SHOP,PAWNBROKERS,1005 W BROAD ST,COLUMBUS,43222,39.958665999999994,-83.027288
1,129876,SONOCO PRODUCTS CO,SERVICE STATIONS-GASOLINE & OIL,1102 W MOUND ST,COLUMBUS,43223,39.94815800000001,-83.028022000000007
1,133327,SUNOCO,SERVICE STATIONS-GASOLINE & OIL,1102 W MOUND ST,COLUMBUS,43223,39.94815800000001,-83.028022000000007
1,136706,MEAT EAT INC,RESTAURANTS,1121 SULLIVANT AVE,COLUMBUS,43223,39.95163599999999,-83.029359
1,136981,GEER GAS CORP,SERVICE STATIONS-GASOLINE & OIL,1360 MCKINLEY AVE,COLUMBUS,43222,39.964473999999996,-83.038104
1,137157,COLUMBUS METROPOLITAN LIBRARY,LIBRARIES-PUBLIC,1061 W TOWN ST,COLUMBUS,43222,39.95516,-83.027802
1,147693,TAHIR II INC,RESTAURANTS,1102 W MOUND ST,COLUMBUS,43223,39.94815800000001,-83.028022000000007
1,150596,GLEASON MARKET,CONVENIENCE STORES,1004 W RICH ST,COLUMBUS,43223,39.954511,-83.026525
1,150991,SUBWAY,RESTAURANTS,1556 W BROAD ST,COLUMBUS,43222,39.957516999999996,-83.041997
1,151002,DOLLAR GENERAL,VARIETY STORES,1350 W BROAD ST,COLUMBUS,43222,39.9582,-83.0287
1,158945,MC DONALD'S,RESTAURANTS,619 HARRISBURG PIKE,COLUMBUS,43223,39.945127,-83.036777
1,302644,BROAD & PRINCETON MART,CONVENIENCE STORES,1306 W BROAD ST,COLUMBUS,43222,39.958310000000004,-83.035378
1,312034,RALLY'S HAMBURGERS,RESTAURANTS,1340 W MOUND ST,COLUMBUS,43223,39.946498,-83.034196
1,312406,PEKING WOK,RESTAURANTS,1537 W BROAD ST,COLUMBUS,43222,39.956588999999994,-83.040932
1,312582,ARBY'S,RESTAURANTS,1563 W BROAD ST,COLUMBUS,43222,39.95609699999999,-83.042046
1,314994,MC DONALD'S,RESTAURANTS,1589 W BROAD ST,COLUMBUS,43222,39.95664099999999,-83.042502
1,317494,FAMILY DOLLAR STORE,VARIETY STORES,1159 W BROAD ST,COLUMBUS,43222,39.958165,-83.03143
1,318603,TOMMY'S DINER,RESTAURANTS,914 W BROAD ST,COLUMBUS,43222,39.959362,-83.025047
1,318629,UNITED DAIRY FARMERS,CONVENIENCE STORES,1043 W BROAD ST,COLUMBUS,43222,39.9582,-83.0287
1,318925,SUNOCO GAS STATION,SERVICE STATIONS-GASOLINE & OIL,1536 W BROAD ST,COLUMBUS,43222,39.95760699999999,-83.041438
1,320466,RED DOOR BBQ,RESTAURANTS,177 S CYPRESS AVE,COLUMBUS,43223,39.955151,-83.028882
1,321695,TACO BELL,RESTAURANTS,1557 W BROAD ST,COLUMBUS,43222,39.956875,-83.04171
1,348427,POPEYES LOUISIANA KITCHEN,RESTAURANTS,1480 W BROAD ST,COLUMBUS,43222,39.95778399999999,-83.040141
1,356521,BUY HERE SELL HERE PAWN SHOP,PAWNBROKERS,1257 W BROAD ST,COLUMBUS,43222,39.95786199999999,-83.03403
2,112743,LONG & 20TH CARRYOUT,CONVENIENCE STORES,1032 E LONG ST,COLUMBUS,43203,39.96829,-82.973725
2,113025,CREOLE KITCHEN,RESTAURANTS,359 N 20TH ST,COLUMBUS,43203,39.971799999999995,-82.9698
2,117107,SUBWAY,RESTAURANTS,323 N 20TH ST,COLUMBUS,43203,39.973076,-82.973686
2,128081,ASIAN WOK II,RESTAURANTS,307 N 20TH ST,COLUMBUS,43203,39.972794,-82.973877
2,134114,CREOLE KITCHEN,RESTAURANTS,1052 MOUNT VERNON AVE # A,COLUMBUS,43203,39.972473,-82.974144
2,142855,LEVS PAWN SHOP,PAWNBROKERS,1025 MOUNT VERNON AVE,COLUMBUS,43203,39.971619999999994,-82.974673
2,148131,DOLLAR PLUS,VARIETY STORES,993 MOUNT VERNON AVE,COLUMBUS,43203,39.971470999999994,-82.975493
2,155571,MIAMI AVENUE STORE,VARIETY STORES,285 MIAMI AVE,COLUMBUS,43203,39.971323999999996,-82.974756
2,316858,GOSPEL TABERNACLE FOOD PANTRY,FOOD BANKS,1290 MOUNT VERNON AVE,COLUMBUS,43203,39.973527,-82.967815
2,326253,WENDY'S,RESTAURANTS,1054 E BROAD ST,COLUMBUS,43205,39.965764,-82.973012
2,404312,KASI TOWNSHIP GRILL,RESTAURANTS,1190 MOUNT VERNON AVE,COLUMBUS,43203,39.972942,-82.970514
3,127395,TEE JAYES COUNTY PLACE,RESTAURANTS,1385 PARSONS AVE,COLUMBUS,43206,39.934934,-82.984136
3,131684,RALLY'S HAMBURGERS,RESTAURANTS,1454 PARSONS AVE,COLUMBUS,43207,39.933679999999995,-82.983421
3,132949,LEVS PAWN SHOP,PAWNBROKERS,1900 PARSONS AVE,COLUMBUS,43207,39.924402,-82.984086
3,135036,SHOP COLUMBUS PAWN,PAWNBROKERS,1704 PARSONS AVE,COLUMBUS,43207,39.92851400000001,-82.984004
3,155787,G & W MARKET,CONVENIENCE STORES,1827 S 5TH ST,COLUMBUS,43207,39.92503500000001,-82.991933
3,197176,PARSONS EXPRESS,CONVENIENCE STORES,1526 PARSONS AVE,COLUMBUS,43207,39.932292000000004,-82.983618
3,302995,DOLLAR GENERAL,VARIETY STORES,1596 PARSONS AVE,COLUMBUS,43207,39.930927,-82.983719
4,75125,THURMAN CAFE,RESTAURANTS,183 THURMAN AVE,COLUMBUS,43206,39.939541,-82.991127
4,98510,BROWN BAG DELI,RESTAURANTS,898 MOHAWK ST,COLUMBUS,43206,39.944278999999995,-82.992426
4,101410,PARSONS ONE STOP,CONVENIENCE STORES,870 PARSONS AVE,COLUMBUS,43206,39.9441,-82.9812
4,104354,SOUTH VILLAGE GRILLE,RESTAURANTS,197 THURMAN AVE,COLUMBUS,43206,39.93951800000001,-82.990761
4,105135,HOT CHICKEN TAKEOVER LLC,RESTAURANTS,181 E MITHOFF ST,COLUMBUS,43206,39.938210000000005,-82.990972
4,114336,OLDE VELAGE DINER,RESTAURANTS,46 E COLUMBUS ST,COLUMBUS,43206,39.9441,-82.9812
4,119595,COLUMBUS METROPOLITAN LIBRARY,LIBRARIES-PUBLIC,1113 PARSONS AVE,COLUMBUS,43206,39.9441,-82.9812
4,122907,SUNOCO STATION,SERVICE STATIONS-GASOLINE & OIL,959 PARSONS AVE,COLUMBUS,43206,39.943813999999996,-82.983346
4,125913,SOUTH VILLAGE GRILLE,RESTAURANTS,197 THURMAN AVE,COLUMBUS,43206,39.93951800000001,-82.990761
4,127395,TEE JAYES COUNTY PLACE,RESTAURANTS,1385 PARSONS AVE,COLUMBUS,43206,39.934934,-82.984136
